,title,subtitle,link
0,PEEPER SCHMEICHEL,,https://www.thesun.co.uk/sport/20194494/mateo-kovacic-pants-chelsea-peter-schmeichel/
1,JHON THE MOVE,Man Utd ready to fight Liverpool for £10m Chicago Fire wonderkid Duran,https://www.thesun.co.uk/sport/20193250/man-utd-liverpool-transfer-fire-jhon-duran/
2,,,https://www.thesun.co.uk/sport/20195392/man-city-transfer-napoli-kvaratskhelia-liverpool/
3,NO CRISTAKE,Ten Hag defends decision to axe Ronaldo as boss praises Utd ‘spirit’ vs Chelsea,https://www.thesun.co.uk/sport/20195555/erik-ten-hag-axe-cristiano-ronaldo-man-utd-spirit-chelsea/
4,,,https://www.thesun.co.uk/sport/betting-tips/19789457/partycasino-bonus-offer-free-spins-starburst/
5,RAPH RIDE,,https://www.thesun.co.uk/sport/20193777/man-utd-raphael-varane-tears-injured-world-cup/
6,MAN UTD RATINGS,Martinez produces flawless display again as Sancho flops in Chelsea draw,https://www.thesun.co.uk/sport/20193144/man-utd-ratings-lisandro-martinez-jadon-sancho-chelsea/
7,MAN UTD VERDICT,Shaw gives England good news as return to form secures role in Qatar,https://www.thesun.co.uk/sport/20194176/man-utd-verdict-chelsea-luke-shaw-england-qatar/
8,CHELSEA VERDICT,Potter not afraid to make big calls after hooking Cucurella in first half,https://www.thesun.co.uk/sport/20194300/chelsea-potter-cucurella-first-half-man-utd/
9,CHELSEA RATINGS,Kepa and Chalobah solid at back until dying embers as Aubameyang struggles,https://www.thesun.co.uk/sport/20192851/chelsea-ratings-kepa-chalobah-aubameyang/
10,MAN CITY 3 BRIGHTON 1,,https://www.thesun.co.uk/sport/20187687/man-city-brighton-haaland-de-bruyne/
11,RANGE,Win a Range Rover + £1k or £34k cash alternative from just 89p with our discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-range-rover-7-days/
12,,,https://www.thesun.co.uk/sport/20187627/nottingham-forest-vs-liverpool-live-stream-score-updates-team-news-premier-league/
13,EVERTON 3 PALACE 0,"Calvert-Lewin, Gordon and McNeil give Lampard vital three points",https://www.thesun.co.uk/sport/20187906/everton-vs-crystal-palace-live-updates-team-news-score-premier-league/
14,,,https://www.thesun.co.uk/sport/betting-tips/20003921/get-50-cash-back-football-bets-paddy-power/
15,MEN DISUNITED,Fans loving ‘box office’ row between Keane and Neville over Ronaldo’s future,https://www.thesun.co.uk/sport/20195102/roy-keane-gary-neville-man-utd-cristiano-ronaldo/
16,,,https://www.thesun.co.uk/sport/20194662/fernandes-man-utd-de-gea-jorginho-penalty/
17,,,https://www.thesun.co.uk/sport/20193453/chelsea-graham-potter-marc-cucarella-man-utd/
18,BUGGED OUT,,https://www.thesun.co.uk/sport/20193334/world-cup-qatar-accommodation-cockroaches-filthy/
19,RELIGHT MY IRE,Robbie Williams faces fury over plan to perform in Qatar for World Cup,https://www.thesun.co.uk/sport/20195865/robbie-williams-fury-world-cup/
20,,,https://www.thesun.co.uk/sport/20193344/norwich-russell-martin-dean-smith-sack/
21,IS SO KEEN,Palace eye Boro full-back Isaiah Jones transfer after missing out on him as kid,https://www.thesun.co.uk/sport/20193147/crystal-palace-transfer-middlesbrough-isaiah-jones/
22,,,https://www.thesun.co.uk/sun-bingo/15530745/new-customer-offer-free-spins/
23,NOTHING RON,Roy Keane defends Cristiano Ronaldo after Man Utd star refused to come on,https://www.thesun.co.uk/sport/20193145/roy-keane-cristiano-ronaldo-manchester-united-chelsea/
24,,,https://www.thesun.co.uk/sport/20192200/man-utd-news-ronaldo-ten-hag-ferdinand/
25,,,https://www.thesun.co.uk/sport/20191930/cristiano-ronaldo-breaks-silence-man-utd-chelsea/
26,HANG RON,,https://www.thesun.co.uk/sport/20191494/ballon-dor-voting-cristiano-ronaldo-man-utd/
27,BRU BEAUTY,Alex Bruce ready to snub coaching job at Boro as he wants to be a boss like dad,https://www.thesun.co.uk/sport/20194028/alex-bruce-middlesbrough-snub-management/
28,,,https://www.thesun.co.uk/sport/20193558/west-brom-next-manager-liam-rosenior/
